City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Biak,ID,76.55,overcast clouds,-0.9131,122.8766,Penginapan Kim
6,Rikitea,PF,76.3,clear sky,-23.1203,-134.9692,People ThankYou
8,Yantzaza,EC,77.79,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
10,Faanui,PF,81.12,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
13,Touros,BR,84.81,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
15,Kahului,US,76.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
18,Saint George,US,79.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
21,Butaritari,KI,80.51,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
27,Brenes,ES,81.01,clear sky,37.5494,-5.8714,Hotel El Juncal
30,Karratha,AU,75.09,clear sky,-20.7377,116.8463,ibis Styles Karratha
32,Arraial Do Cabo,BR,78.66,few clouds,-22.9661,-42.0278,Pousada Porto Praia
33,Belmonte,BR,77.18,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
34,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
39,Lakeland Highlands,US,89.62,scattered clouds,27.9597,-81.9501,Imperial Swan Hotel Of Lakeland
40,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
44,Namatanai,PG,77.99,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
50,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Bathsheba,BB,82.76,overcast clouds,13.2167,-59.5167,Atlantis Hotel
58,Samarai,PG,80.87,scattered clouds,-10.6167,150.6667,Nuli Sapi
61,Kavieng,PG,81.55,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
69,Male,MV,83.14,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
70,Jamestown,US,76.05,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
73,Nova Olimpia,BR,94.77,few clouds,-14.7972,-57.2881,Motel glamour
76,Lethem,GY,90.5,overcast clouds,3.3803,-59.7968,Savannah Inn
78,Kavaratti,IN,81.59,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
79,Poso,ID,76.46,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
81,Colomiers,FR,85.24,few clouds,43.6167,1.35,Radisson Blu Hotel Toulouse Airport
83,Maracacume,BR,83.35,light rain,-2.0428,-45.9592,Hotel Ramos
86,Atuona,PF,78.69,overcast clouds,-9.8,-139.0333,Villa Enata
94,Lompoc,US,85.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
95,Laguna,US,79.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
98,Bethel,US,80.19,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
102,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
106,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
111,Oussouye,SN,86.94,broken clouds,12.485,-16.5469,Auberge du Routard
113,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
115,Hithadhoo,MV,83.3,broken clouds,-0.6,73.0833,Scoop Guest House
116,Banda Aceh,ID,81.36,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
120,Japura,ID,76.1,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
122,Padang,ID,79.52,scattered clouds,-0.9492,100.3543,Mercure Padang
125,Hambantota,LK,78.35,overcast clouds,6.1241,81.1185,Bungalow 63
126,Biltine,TD,99.09,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
128,Le Moule,GP,84.24,scattered clouds,16.3332,-61.3473,Lakaz Hananou
130,Caravelas,BR,78.75,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
132,Akot,IN,98.92,clear sky,21.0964,77.0586,Shri PRASAD
137,El Jicaro,GT,90.93,scattered clouds,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
138,Navolato,MX,90.64,overcast clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
139,Domoni,KM,78.53,few clouds,-12.2569,44.5319,Al Djadid
153,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
158,Kudahuvadhoo,MV,82.38,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
159,Dublin,US,75.0,clear sky,37.7021,-121.9358,Larkspur Landing Pleasanton
162,Lahad Datu,MY,77.22,overcast clouds,5.0268,118.327,The 27th House
165,Virginia Beach,US,75.25,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
167,Michigan City,US,77.81,light rain,41.7075,-86.895,Microtel Inn & Suites by Wyndham Michigan City
168,Jalu,LY,80.02,clear sky,29.0331,21.5482,صاحبة الفخامة
174,Sao Filipe,CV,78.35,broken clouds,14.8961,-24.4956,Hotel Xaguate
177,Pochutla,MX,89.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
178,Pimenteiras,BR,92.57,overcast clouds,-6.2453,-41.4192,Hotel rotativo pimentas
179,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
182,Kovur,IN,85.62,scattered clouds,14.4833,79.9833,Hotel Yesh Park
189,Gizo,SB,81.3,scattered clouds,-8.103,156.8419,Imagination Island
