,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,-33.0153,27.9116,64.67,71,51,11.05,broken clouds
1,Geraldton,AU,-28.7667,114.6,55.81,94,68,10.36,broken clouds
2,Biak,ID,-0.9131,122.8766,76.55,87,100,3.85,overcast clouds
3,Vaini,TO,-21.2,-175.2,71.76,68,20,8.05,few clouds
4,Murray Bridge,AU,-35.1167,139.2667,62.13,90,0,7.36,clear sky
5,Longyearbyen,SJ,78.2186,15.6401,30.04,64,75,3.44,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,76.3,68,0,23.64,clear sky
7,Taltal,CL,-25.4,-70.4833,65.46,66,0,6.17,clear sky
8,Yantzaza,EC,-3.8278,-78.7594,77.79,75,95,2.3,light rain
9,Sioux Lookout,CA,50.1001,-91.917,67.95,38,6,12.55,moderate rain
10,Faanui,PF,-16.4833,-151.75,81.12,67,72,13.89,broken clouds
11,Port Lincoln,AU,-34.7333,135.8667,60.49,79,5,13.49,clear sky
12,Armizonskoye,RU,55.9461,67.6736,55.74,67,100,5.64,overcast clouds
13,Touros,BR,-5.1989,-35.4608,84.81,70,50,14.99,scattered clouds
14,Qaanaaq,GL,77.484,-69.3632,19.71,68,44,1.92,scattered clouds
15,Kahului,US,20.8947,-156.47,76.84,72,20,16.11,few clouds
16,Cidreira,BR,-30.1811,-50.2056,67.95,77,91,14.65,overcast clouds
17,Prince George,CA,53.9166,-122.753,47.25,65,82,1.99,broken clouds
18,Saint George,US,37.1041,-113.5841,79.79,11,0,0.0,clear sky
19,Gera,DE,50.8803,12.0819,69.8,68,66,9.08,broken clouds
20,Korla,CN,41.7597,86.1469,69.35,31,9,4.72,clear sky
21,Butaritari,KI,3.0707,172.7902,80.51,75,98,8.08,overcast clouds
22,Punta Arenas,CL,-53.15,-70.9167,50.11,71,40,16.11,scattered clouds
23,Albany,US,42.6001,-73.9662,82.58,58,83,1.01,broken clouds
24,Pevek,RU,69.7008,170.3133,32.52,92,100,11.56,overcast clouds
25,New Norfolk,AU,-42.7826,147.0587,58.91,72,80,8.01,broken clouds
26,Cardston,CA,49.2,-113.3019,48.99,27,69,10.38,broken clouds
27,Brenes,ES,37.5494,-5.8714,81.01,51,0,16.11,clear sky
28,Olafsvik,IS,64.8945,-23.7142,41.5,69,44,12.01,scattered clouds
29,Kaitangata,NZ,-46.2817,169.8464,44.15,85,100,0.6,overcast clouds
30,Karratha,AU,-20.7377,116.8463,75.09,55,2,9.98,clear sky
31,Beroroha,MG,-21.6667,45.1667,76.21,38,27,0.87,scattered clouds
32,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,61,20,11.5,few clouds
33,Belmonte,BR,-15.8631,-38.8828,77.18,85,88,11.1,overcast clouds
34,Puerto Ayora,EC,-0.7393,-90.3518,78.76,95,25,1.99,scattered clouds
35,Barrow,US,71.2906,-156.7887,24.82,86,100,12.66,overcast clouds
36,Tazovskiy,RU,67.4667,78.7,35.96,98,96,8.61,overcast clouds
37,Anadyr,RU,64.75,177.4833,35.49,93,100,7.74,overcast clouds
38,Goderich,CA,43.7501,-81.7165,69.91,79,15,8.59,few clouds
39,Lakeland Highlands,US,27.9597,-81.9501,89.62,55,40,3.44,scattered clouds
40,Saint-Georges,GD,12.0564,-61.7485,85.68,70,20,26.46,few clouds
41,Ust-Omchug,RU,61.15,149.6333,26.42,94,100,2.75,overcast clouds
42,Molina,CL,-35.1167,-71.2833,53.37,100,100,3.44,overcast clouds
43,Codrington,AU,-38.2667,141.9667,54.0,94,0,11.05,clear sky
44,Namatanai,PG,-3.6667,152.4333,77.99,79,24,5.08,few clouds
45,Ribeira Grande,PT,38.5167,-28.7,64.8,72,40,21.85,scattered clouds
46,Clyde River,CA,70.4692,-68.5914,28.15,69,52,4.54,broken clouds
47,Saint-Philippe,RE,-21.3585,55.7679,72.99,78,67,13.02,light rain
48,Sucua,EC,-2.4667,-78.1667,70.54,94,100,4.61,moderate rain
49,Solnechnyy,RU,50.7214,136.6319,38.64,87,93,10.49,light rain
50,Kapaa,US,22.0752,-159.319,75.52,87,75,13.8,light rain
