City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tuktoyaktuk,CA,2022-05-10 19:22:53,69.4541,-133.0374,26.6,86,100,18.41
1,Korla,CN,2022-05-10 19:22:54,41.7597,86.1469,75.78,24,52,14.72
2,Lompoc,US,2022-05-10 19:22:54,34.6391,-120.4579,70.57,48,0,21.0
3,Ust-Tsilma,RU,2022-05-10 19:22:55,65.441,52.1498,33.58,91,5,4.16
4,Hobart,AU,2022-05-10 19:18:43,-42.8794,147.3294,46.26,87,0,11.5
5,Georgetown,MY,2022-05-10 19:22:55,5.4112,100.3354,84.13,91,20,4.61
6,Saskylakh,RU,2022-05-10 19:22:56,71.9167,114.0833,8.91,97,100,2.06
7,Constitucion,CL,2022-05-10 19:22:56,-35.3333,-72.4167,62.64,57,100,11.65
8,Upernavik,GL,2022-05-10 19:18:10,72.7868,-56.1549,28.99,75,100,13.27
9,Vaini,TO,2022-05-10 19:22:57,-21.2,-175.2,73.56,78,75,4.61
10,Tuatapere,NZ,2022-05-10 19:22:57,-46.1333,167.6833,41.67,88,8,5.35
11,Sisimiut,GL,2022-05-10 19:22:58,66.9395,-53.6735,29.05,64,11,13.71
12,Lavrentiya,RU,2022-05-10 19:22:58,65.5833,-171.0,30.96,98,100,8.14
13,Airai,TL,2022-05-10 19:22:58,-8.9266,125.4092,58.24,89,63,1.07
14,Guerrero Negro,MX,2022-05-10 19:22:04,27.9769,-114.0611,67.96,53,0,18.95
15,Bredasdorp,ZA,2022-05-10 19:22:59,-34.5322,20.0403,60.78,43,77,11.3
16,Namikupa,TZ,2022-05-10 19:22:59,-10.8333,39.6,65.93,96,0,1.52
17,Kilrush,IE,2022-05-10 19:23:00,52.6397,-9.4833,55.15,77,100,17.76
18,Tasiilaq,GL,2022-05-10 19:23:00,65.6145,-37.6368,28.56,77,97,10.29
19,Norman Wells,CA,2022-05-10 19:23:01,65.282,-126.8329,44.64,33,75,9.22
20,Nizwa,OM,2022-05-10 19:23:01,22.9333,57.5333,86.14,17,0,3.8
21,Punta Arenas,CL,2022-05-10 19:19:39,-53.15,-70.9167,48.31,57,75,13.8
22,Jamestown,US,2022-05-10 19:23:02,42.097,-79.2353,74.84,14,0,9.22
23,Husavik,IS,2022-05-10 19:23:02,66.0449,-17.3389,33.15,97,100,14.76
24,Mataura,NZ,2022-05-10 19:23:02,-46.1927,168.8643,37.13,97,17,3.2
25,Rikitea,PF,2022-05-10 19:23:03,-23.1203,-134.9692,76.78,73,0,16.84
26,Puerto Ayora,EC,2022-05-10 19:23:03,-0.7393,-90.3518,82.36,88,40,5.01
27,Kapaa,US,2022-05-10 19:23:04,22.0752,-159.319,77.32,83,100,13.8
28,Kahului,US,2022-05-10 19:23:04,20.8947,-156.47,78.82,75,40,16.11
29,Okhotsk,RU,2022-05-10 19:23:05,59.3833,143.3,32.02,97,100,12.66
30,Carnarvon,AU,2022-05-10 19:23:05,-24.8667,113.6333,69.87,88,96,5.75
31,Aklavik,CA,2022-05-10 19:23:05,68.2191,-135.0107,32.18,91,100,18.77
32,Chake Chake,TZ,2022-05-10 19:23:06,-5.2459,39.7666,78.6,85,1,12.06
33,Butaritari,KI,2022-05-10 19:23:06,3.0707,172.7902,80.85,72,10,17.98
34,Morant Bay,JM,2022-05-10 19:22:00,17.8815,-76.4093,87.71,68,6,12.01
35,Talnakh,RU,2022-05-10 19:23:07,69.4865,88.3972,21.72,98,100,6.93
36,Saint George,US,2022-05-10 19:23:07,37.1041,-113.5841,71.44,10,0,12.66
37,Lagoa,PT,2022-05-10 19:23:08,39.05,-27.9833,62.31,90,98,14.99
38,Lebu,CL,2022-05-10 19:23:08,-37.6167,-73.65,56.08,61,100,11.83
39,Arona,ES,2022-05-10 19:20:50,28.0996,-16.681,71.13,65,75,3.44
40,Provideniya,RU,2022-05-10 19:23:09,64.3833,-173.3,32.56,98,100,6.35
41,The Pas,CA,2022-05-10 19:23:09,53.8251,-101.2541,55.42,41,100,6.91
42,Baruun-Urt,MN,2022-05-10 19:23:09,46.6806,113.2792,30.78,45,44,12.91
43,Qaanaaq,GL,2022-05-10 19:23:10,77.484,-69.3632,21.25,67,4,1.28
44,Pravda,RU,2022-05-10 19:23:10,46.9396,142.009,43.79,81,3,5.3
45,Hithadhoo,MV,2022-05-10 19:21:21,-0.6,73.0833,84.06,75,98,16.71
46,Avera,US,2022-05-10 19:23:11,33.194,-82.5271,79.56,27,0,10.96
47,Pushchino,RU,2022-05-10 19:24:11,54.8339,37.6264,44.06,69,100,13.0
48,Santa Cruz,BO,2022-05-10 19:20:18,-17.8,-63.1667,77.05,65,75,8.05
49,Hilo,US,2022-05-10 19:23:59,19.7297,-155.09,78.53,80,75,8.05
50,Kilindoni,TZ,2022-05-10 19:24:12,-7.9139,39.6668,81.27,73,0,16.42
51,Avarua,CK,2022-05-10 19:23:42,-21.2078,-159.775,78.85,89,75,2.3
52,Padang,ID,2022-05-10 19:24:13,-0.9492,100.3543,78.91,85,100,3.65
53,Ilulissat,GL,2022-05-10 19:24:13,69.2167,-51.1,26.17,70,82,6.08
54,Ushuaia,AR,2022-05-10 19:24:14,-54.8,-68.3,46.02,70,20,4.61
55,Sangar,RU,2022-05-10 19:24:14,63.9242,127.4739,12.63,90,10,4.18
56,Ustrzyki Dolne,PL,2022-05-10 19:24:15,49.4304,22.5938,46.58,84,9,3.33
57,Havoysund,NO,2022-05-10 19:24:15,70.9963,24.6622,35.04,89,100,17.54
58,Ribeira Grande,PT,2022-05-10 19:24:16,38.5167,-28.7,68.4,77,40,13.8
59,Albany,US,2022-05-10 19:21:53,42.6001,-73.9662,75.69,24,0,1.99
60,Guanica,PR,2022-05-10 19:24:16,17.9716,-66.908,87.98,70,81,15.66
61,Bluff,NZ,2022-05-10 19:24:17,-46.6,168.3333,45.5,86,15,12.12
62,Cape Town,ZA,2022-05-10 19:23:26,-33.9258,18.4232,63.1,88,75,16.11
63,Jaynagar,IN,2022-05-10 19:24:17,26.5833,86.15,85.05,57,0,10.27
64,Hermanus,ZA,2022-05-10 19:22:50,-34.4187,19.2345,65.8,72,90,17.81
65,Port Alfred,ZA,2022-05-10 19:24:18,-33.5906,26.891,67.78,57,100,11.63
66,Khatanga,RU,2022-05-10 19:24:18,71.9667,102.5,24.1,97,100,3.56
67,Point Pedro,LK,2022-05-10 19:24:19,9.8167,80.2333,83.61,82,100,15.9
68,Mandan,US,2022-05-10 19:22:14,46.8267,-100.8896,67.37,30,0,19.57
69,Port Keats,AU,2022-05-10 19:24:19,-14.25,129.55,75.25,54,38,7.92
70,Severobaykalsk,RU,2022-05-10 19:24:20,55.65,109.3167,25.97,75,2,6.51
71,Gigmoto,PH,2022-05-10 19:24:20,13.7796,124.39,79.7,84,100,5.39
72,Farafangana,MG,2022-05-10 19:24:20,-22.8167,47.8333,70.34,69,0,7.65
73,Batemans Bay,AU,2022-05-10 19:24:21,-35.7167,150.1833,57.09,80,100,3.53
74,Nikolskoye,RU,2022-05-10 19:24:21,59.7035,30.7861,49.91,67,99,4.36
75,Kuybyshevo,RU,2022-05-10 19:24:22,47.8123,38.9073,45.95,71,87,7.34
76,Nouadhibou,MR,2022-05-10 19:24:22,20.931,-17.0347,67.98,88,100,19.57
77,Havelock,US,2022-05-10 19:24:23,34.8791,-76.9013,66.97,67,100,19.57
78,Torbay,CA,2022-05-10 19:24:23,47.6666,-52.7314,56.17,36,20,12.66
79,Vagur,FO,2022-05-10 19:24:23,61.4732,-6.8119,46.22,88,8,12.06
80,Lake Cowichan,CA,2022-05-10 19:24:24,48.825,-124.0546,53.8,66,100,4.09
81,Monte Aprazivel,BR,2022-05-10 19:24:24,-20.7725,-49.7142,84.85,34,10,3.09
82,Zhezkazgan,KZ,2022-05-10 19:24:25,47.8043,67.7144,55.02,60,22,8.63
83,Richards Bay,ZA,2022-05-10 19:24:25,-28.783,32.0377,64.89,85,2,5.08
84,Terre Haute,US,2022-05-10 19:23:10,39.4667,-87.4139,87.96,65,40,12.66
85,Mecca,SA,2022-05-10 19:21:20,21.4267,39.8261,88.68,22,0,5.84
86,Plettenberg Bay,ZA,2022-05-10 19:24:26,-34.0527,23.3716,60.35,71,2,6.24
87,Mwense,ZM,2022-05-10 19:24:26,-10.3845,28.698,67.19,59,0,4.52
88,Severo-Kurilsk,RU,2022-05-10 19:24:27,50.6789,156.125,34.43,96,99,2.91
89,Jieshi,CN,2022-05-10 19:25:27,22.8134,115.8257,74.95,97,100,7.05
90,Chokurdakh,RU,2022-05-10 19:25:28,70.6333,147.9167,15.55,95,100,10.33
91,Luau,AO,2022-05-10 19:25:28,-10.7073,22.2247,70.07,54,14,4.14
92,Yellowknife,CA,2022-05-10 19:25:28,62.456,-114.3525,30.72,74,75,8.05
93,Mount Isa,AU,2022-05-10 19:25:29,-20.7333,139.5,64.17,100,75,8.05
94,Nalut,LY,2022-05-10 19:25:29,30.3333,10.85,71.55,34,100,20.42
95,Saint-Philippe,RE,2022-05-10 19:25:30,-21.3585,55.7679,72.99,82,11,7.02
96,Dikson,RU,2022-05-10 19:25:30,73.5069,80.5464,26.98,94,100,25.1
97,Busselton,AU,2022-05-10 19:25:31,-33.65,115.3333,58.35,86,92,2.21
98,Hami,CN,2022-05-10 19:25:31,42.8,93.45,64.9,11,71,15.61
99,Falmouth,GB,2022-05-10 19:25:31,50.1544,-5.0711,56.3,88,40,11.5
100,Gari,RU,2022-05-10 19:25:32,59.4307,62.3497,56.01,60,100,9.17
101,Narsaq,GL,2022-05-10 19:25:32,60.9167,-46.05,50.22,74,46,6.17
102,Villarrica,PY,2022-05-10 19:25:33,-25.75,-56.4333,68.59,83,97,4.05
103,Erzurum,TR,2022-05-10 19:25:33,40.0,41.5,44.28,77,20,5.57
104,Portland,US,2022-05-10 19:23:37,45.5234,-122.6762,59.32,56,75,4.61
105,Lubao,PH,2022-05-10 19:25:34,14.9167,120.55,83.91,80,75,2.42
106,Byron Bay,AU,2022-05-10 19:23:53,-28.65,153.6167,65.71,71,100,14.7
107,Sakakah,SA,2022-05-10 19:25:34,29.9697,40.2064,76.57,16,0,9.69
108,Sarkand,KZ,2022-05-10 19:25:35,45.41,79.9186,65.26,57,100,6.71
109,Rosarito,MX,2022-05-10 19:25:35,32.3333,-117.0333,72.41,55,88,14.61
110,Mar Del Plata,AR,2022-05-10 19:25:36,-38.0023,-57.5575,55.94,77,0,10.36
